CID,SID
37,189
101,189
92,190
20,190
4,190
33,190
25,191
98,191
44,191
108,191
56,192
29,192
105,192
13,192
95,193
11,193
133,193
54,193
26,194
80,194
137,194
19,194
118,195
94,195
24,195
7,195
14,196
34,196
72,196
122,196
34,197
63,197
1,197
42,197
143,198
80,198
60,198
14,198
130,199
128,199
7,199
87,199
78,200
99,200
20,200
140,200
88,201
91,201
50,201
138,201
26,202
85,202
119,202
112,202
92,203
130,203
57,203
99,203
80,204
50,204
108,204
108,204
105,205
46,205
59,205
22,205
115,206
77,206
143,206
9,206
106,207
112,207
31,207
126,207
55,208
74,208
113,208
91,208
141,209
49,209
75,209
115,209
147,210
122,210
46,210
56,210
44,211
43,211
115,211
52,211
1,212
33,212
66,212
141,212
148,213
102,213
124,213
83,213
43,214
38,214
36,214
102,214
61,215
90,215
74,215
84,215
95,216
4,216
131,216
137,216
42,217
1,217
82,217
57,217
20,218
108,218
67,218
63,218
109,219
18,219
86,219
96,219
37,220
102,220
101,220
129,220
128,221
40,221
81,221
135,221
3,222
143,222
1,222
78,222
9,223
33,223
52,223
24,223
88,224
138,224
105,224
145,224
65,225
55,225
147,225
82,225
142,226
97,226
39,226
86,226
34,227
137,227
66,227
52,227
73,228
128,228
148,228
144,228
53,229
53,229
54,229
3,229
98,230
45,230
143,230
133,230
46,231
77,231
134,231
118,231
85,232
113,232
127,232
6,232
16,233
9,233
31,233
83,233
39,234
25,234
23,234
36,234
32,235
67,235
129,235
26,235
24,236
128,236
112,236
110,236
59,237
42,237
57,237
61,237
77,238
71,238
53,238
57,238
128,239
78,239
77,239
114,239
73,240
116,240
19,240
120,240
67,241
27,241
28,241
96,241
126,242
108,242
47,242
136,242
46,243
80,243
33,243
56,243
86,244
145,244
74,244
55,244
35,245
71,245
70,245
97,245
9,246
54,246
37,246
93,246
123,247
49,247
37,247
53,247
147,248
43,248
77,248
18,248
147,249
14,249
65,249
32,249
122,250
19,250
147,250
125,250
91,251
25,251
5,251
46,251
54,252
68,252
125,252
92,252
39,253
40,253
97,253
93,253
73,254
120,254
12,254
60,254
132,255
99,255
123,255
148,255
103,256
106,256
9,256
41,256
16,257
90,257
67,257
3,257
8,258
131,258
63,258
120,258
31,259
26,259
67,259
141,259
4,260
100,260
77,260
4,260
65,261
43,261
65,261
52,261
121,262
75,262
5,262
91,262
8,263
52,263
134,263
127,263
68,264
44,264
108,264
77,264
5,265
118,265
34,265
77,265
76,266
38,266
67,266
9,266
80,267
118,267
72,267
125,267
120,268
122,268
66,268
139,268
95,269
44,269
105,269
53,269
148,270
63,270
135,270
32,270
26,271
80,271
64,271
96,271
67,272
133,272
67,272
92,272
88,273
113,273
120,273
92,273
82,274
37,274
138,274
83,274
81,275
108,275
99,275
44,275
109,276
109,276
7,276
90,276
49,277
38,277
4,277
147,277
59,278
146,278
29,278
68,278
80,279
90,279
78,279
95,279
75,280
48,280
62,280
118,280
105,281
144,281
28,281
104,281
116,282
4,282
146,282
74,282
94,283
6,283
71,283
98,283
105,284
111,284
62,284
29,284
91,285
55,285
73,285
66,285
49,286
90,286
66,286
42,286
77,287
8,287
78,287
77,287
22,288
129,288
140,288
97,288
119,289
73,289
8,289
96,289
77,290
64,290
21,290
51,290
27,291
90,291
113,291
81,291
76,292
100,292
34,292
142,292
62,293
78,293
133,293
2,293
126,294
55,294
51,294
117,294
110,295
124,295
41,295
7,295
54,296
121,296
33,296
10,296
19,297
38,297
48,297
36,297
87,298
100,298
26,298
105,298
121,299
65,299
89,299
11,299
70,300
122,300
102,300
136,300
16,301
130,301
73,301
20,301
93,302
55,302
1,302
63,302
112,303
128,303
40,303
89,303
49,304
114,304
48,304
8,304
80,305
14,305
10,305
98,305
25,306
64,306
95,306
39,306
119,307
100,307
142,307
122,307
140,308
39,308
138,308
122,308
52,309
68,309
145,309
55,309
120,310
128,310
16,310
122,310
17,311
114,311
23,311
91,311
136,312
125,312
24,312
67,312
6,313
20,313
108,313
79,313
128,314
128,314
48,314
7,314
65,315
63,315
71,315
40,315
121,316
50,316
86,316
75,316
43,317
82,317
107,317
108,317
87,318
4,318
107,318
147,318
136,319
8,319
82,319
10,319
125,320
78,320
10,320
91,320
112,321
90,321
81,321
125,321
36,322
123,322
13,322
50,322
122,323
8,323
59,323
59,323
119,324
96,324
148,324
90,324
93,325
62,325
50,325
79,325
127,326
94,326
141,326
29,326
67,327
120,327
107,327
44,327
121,328
110,328
78,328
46,328
98,329
47,329
3,329
21,329
116,330
18,330
30,330
111,330
5,331
49,331
19,331
93,331
127,332
71,332
36,332
118,332
122,333
3,333
11,333
48,333
45,334
119,334
62,334
24,334
12,335
96,335
56,335
139,335
13,336
32,336
83,336
41,336
67,337
97,337
27,337
51,337
119,338
1,338
118,338
44,338
29,339
83,339
79,339
6,339
69,340
106,340
110,340
38,340
57,341
100,341
115,341
126,341
33,342
44,342
16,342
94,342
70,343
101,343
91,343
28,343
89,344
13,344
13,344
127,344
136,345
18,345
11,345
63,345
51,346
132,346
87,346
102,346
111,347
109,347
76,347
105,347
65,348
4,348
70,348
41,348
4,349
125,349
48,349
79,349
69,350
97,350
90,350
30,350
1,351
145,351
133,351
1,351
134,352
80,352
130,352
137,352
41,353
10,353
105,353
34,353
128,354
97,354
136,354
72,354
110,355
63,355
136,355
64,355
58,356
39,356
56,356
1,356
85,357
115,357
59,357
112,357
10,358
97,358
97,358
74,358
39,359
82,359
36,359
69,359
129,360
90,360
96,360
77,360
12,361
119,361
45,361
16,361
125,362
1,362
139,362
133,362
91,363
111,363
61,363
80,363
58,364
27,364
46,364
57,364
12,365
96,365
5,365
134,365
23,366
104,366
77,366
61,366
83,367
21,367
54,367
14,367
15,368
121,368
21,368
25,368
30,369
83,369
25,369
70,369
141,370
47,370
6,370
54,370
13,371
24,371
113,371
79,371
138,372
36,372
12,372
51,372
91,373
84,373
43,373
106,373
13,374
83,374
7,374
91,374
68,375
120,375
105,375
116,375
109,376
32,376
4,376
17,376
138,377
20,377
38,377
140,377
76,378
44,378
67,378
109,378
98,379
59,379
128,379
135,379
85,380
81,380
16,380
41,380
69,381
138,381
108,381
4,381
57,382
143,382
30,382
41,382
3,383
100,383
6,383
118,383
26,384
27,384
80,384
137,384
78,385
26,385
38,385
94,385
21,386
55,386
26,386
135,386
121,387
16,387
12,387
116,387
33,388
72,388
72,388
7,388
133,389
41,389
66,389
60,389
37,390
3,390
109,390
103,390
120,391
58,391
116,391
55,391
87,392
127,392
104,392
36,392
62,393
85,393
100,393
95,393
30,394
11,394
31,394
21,394
9,395
88,395
94,395
38,395
123,396
3,396
112,396
57,396
69,397
69,397
28,397
24,397
76,398
27,398
76,398
102,398
118,399
24,399
123,399
53,399
52,400
61,400
107,400
21,400
17,401
15,401
84,401
98,401
98,402
53,402
38,402
21,402
134,403
130,403
117,403
56,403
96,404
107,404
46,404
104,404
24,405
18,405
35,405
92,405
8,406
33,406
4,406
103,406
23,407
69,407
145,407
136,407
92,408
72,408
132,408
84,408
135,409
24,409
27,409
105,409
56,410
81,410
126,410
62,410
103,411
138,411
10,411
142,411
110,412
67,412
121,412
36,412
143,413
17,413
101,413
34,413
74,414
133,414
113,414
98,414
130,415
49,415
111,415
121,415
14,416
27,416
48,416
68,416
112,417
3,417
59,417
50,417
9,418
60,418
39,418
22,418
133,419
120,419
1,419
141,419
9,420
131,420
143,420
86,420
74,421
68,421
27,421
1,421
135,422
67,422
112,422
130,422
92,423
39,423
119,423
133,423
28,424
34,424
89,424
119,424
132,425
112,425
38,425
30,425
47,426
26,426
15,426
77,426
38,427
49,427
61,427
36,427
37,428
140,428
31,428
141,428
121,429
61,429
15,429
12,429
45,430
9,430
50,430
116,430
18,431
88,431
14,431
51,431
117,432
16,432
38,432
10,432
80,433
67,433
5,433
109,433
141,434
13,434
140,434
106,434
32,435
136,435
125,435
79,435
90,436
142,436
97,436
66,436
142,437
74,437
17,437
59,437
76,438
75,438
78,438
98,438
52,439
61,439
12,439
67,439
22,440
10,440
66,440
96,440
2,441
19,441
94,441
92,441
70,442
5,442
77,442
19,442
130,443
25,443
40,443
3,443
42,444
108,444
135,444
3,444
80,445
79,445
23,445
97,445
57,446
128,446
62,446
101,446
91,447
57,447
115,447
68,447
50,448
48,448
35,448
45,448
48,449
1,449
109,449
86,449
58,450
31,450
71,450
22,450
54,451
21,451
116,451
87,451
140,452
109,452
7,452
117,452
24,453
116,453
115,453
7,453
77,454
127,454
53,454
95,454
17,455
128,455
19,455
28,455
126,456
10,456
141,456
65,456
6,457
46,457
104,457
64,457
78,458
22,458
81,458
45,458
63,459
48,459
89,459
129,459
79,460
59,460
92,460
81,460
96,461
129,461
47,461
26,461
83,462
147,462
51,462
131,462
89,463
54,463
145,463
48,463
98,464
100,464
83,464
115,464
70,465
88,465
115,465
52,465
141,466
18,466
138,466
38,466
115,467
107,467
12,467
93,467
107,468
10,468
98,468
102,468
23,469
25,469
67,469
102,469
103,470
80,470
14,470
23,470
29,471
99,471
44,471
61,471
25,472
112,472
21,472
148,472
68,473
51,473
104,473
142,473
20,474
36,474
145,474
33,474
13,475
130,475
142,475
78,475
142,476
142,476
91,476
105,476
7,477
71,477
141,477
141,477
12,478
63,478
67,478
91,478
118,479
41,479
79,479
143,479
28,480
4,480
78,480
50,480
142,481
96,481
68,481
40,481
54,482
28,482
54,482
14,482
72,483
143,483
14,483
123,483
78,484
121,484
46,484
46,484
97,485
126,485
141,485
97,485
79,486
70,486
46,486
40,486
31,487
86,487
122,487
51,487
16,488
148,488
134,488
87,488
73,489
68,489
15,489
10,489
146,490
20,490
134,490
113,490
20,491
34,491
89,491
92,491
56,492
70,492
16,492
43,492
129,493
32,493
106,493
33,493
102,494
112,494
114,494
61,494
39,495
79,495
92,495
27,495
68,496
140,496
56,496
74,496
124,497
22,497
2,497
72,497
34,498
126,498
124,498
30,498
142,499
49,499
34,499
132,499
129,500
64,500
27,500
124,500
78,501
103,501
148,501
125,501
148,502
22,502
16,502
14,502
98,503
15,503
10,503
61,503
11,504
27,504
10,504
140,504
98,505
114,505
33,505
97,505
52,506
68,506
74,506
46,506
103,507
118,507
45,507
106,507
5,508
134,508
107,508
135,508
148,509
100,509
60,509
123,509
55,510
129,510
98,510
5,510
129,511
124,511
17,511
21,511
36,512
118,512
115,512
86,512
106,513
107,513
21,513
131,513
54,514
84,514
54,514
4,514
111,515
19,515
18,515
46,515
119,516
85,516
13,516
62,516
69,517
31,517
112,517
8,517
90,518
48,518
140,518
128,518
85,519
42,519
21,519
47,519
58,520
91,520
132,520
53,520
118,521
26,521
140,521
29,521
74,522
8,522
62,522
106,522
54,523
22,523
86,523
71,523
51,524
83,524
48,524
142,524
51,525
86,525
104,525
97,525
4,526
133,526
61,526
117,526
36,527
128,527
113,527
115,527
79,528
112,528
9,528
72,528
53,529
83,529
22,529
42,529
47,530
104,530
103,530
148,530
78,531
68,531
7,531
20,531
106,532
100,532
60,532
69,532
88,533
137,533
98,533
86,533
88,534
107,534
100,534
148,534
25,535
102,535
90,535
140,535
67,536
113,536
8,536
59,536
14,537
137,537
8,537
17,537
7,538
12,538
81,538
117,538
4,539
68,539
94,539
89,539
63,540
55,540
23,540
29,540
81,541
117,541
47,541
133,541
124,542
100,542
83,542
72,542
55,543
102,543
17,543
98,543
89,544
84,544
21,544
47,544
27,545
8,545
4,545
12,545
120,546
20,546
90,546
110,546
25,547
60,547
43,547
98,547
110,548
143,548
27,548
7,548
129,549
21,549
115,549
65,549
122,550
30,550
120,550
144,550
103,551
124,551
48,551
119,551
82,552
93,552
110,552
112,552
92,553
92,553
38,553
145,553
76,554
105,554
42,554
1,554
76,555
20,555
115,555
115,555
18,556
94,556
114,556
109,556
107,557
140,557
77,557
86,557
21,558
56,558
79,558
21,558
113,559
14,559
15,559
97,559
106,560
93,560
96,560
103,560
145,561
38,561
5,561
122,561
34,562
131,562
86,562
12,562
16,563
87,563
68,563
129,563
107,564
114,564
65,564
37,564
17,565
144,565
110,565
141,565
110,566
90,566
68,566
1,566
39,567
142,567
7,567
40,567
78,568
68,568
9,568
98,568
48,569
53,569
119,569
2,569
87,570
146,570
53,570
14,570
133,571
75,571
37,571
91,571
78,572
141,572
147,572
39,572
128,573
17,573
67,573
79,573
4,574
48,574
109,574
72,574
20,575
35,575
143,575
52,575
87,576
62,576
108,576
7,576
51,577
47,577
137,577
89,577
129,578
26,578
47,578
124,578
130,579
84,579
52,579
84,579
111,580
9,580
143,580
85,580
101,581
94,581
140,581
82,581
41,582
25,582
93,582
13,582
26,583
129,583
92,583
22,583
70,584
143,584
16,584
40,584
4,585
91,585
120,585
82,585
126,586
48,586
41,586
113,586
122,587
49,587
10,587
46,587
116,588
95,588
147,588
88,588
19,589
25,589
140,589
16,589
111,590
81,590
138,590
84,590
117,591
110,591
100,591
57,591
134,592
132,592
139,592
69,592
130,593
134,593
101,593
29,593
143,594
86,594
13,594
105,594
62,595
96,595
29,595
91,595
27,596
88,596
50,596
106,596
4,597
114,597
33,597
47,597
111,598
33,598
59,598
12,598
135,599
61,599
37,599
78,599
60,600
2,600
117,600
33,600
6,601
15,601
125,601
89,601
37,602
109,602
48,602
45,602
114,603
138,603
139,603
142,603
129,604
89,604
3,604
37,604
98,605
63,605
13,605
102,605
69,606
52,606
16,606
102,606
112,607
65,607
115,607
137,607
39,608
18,608
133,608
15,608
121,609
45,609
6,609
88,609
15,610
81,610
56,610
95,610
48,611
10,611
90,611
2,611
56,612
59,612
73,612
113,612
48,613
123,613
23,613
55,613
134,614
109,614
137,614
58,614
69,615
68,615
6,615
6,615
103,616
56,616
94,616
80,616
129,617
76,617
71,617
143,617
116,618
122,618
57,618
87,618
41,619
4,619
132,619
130,619
105,620
103,620
114,620
118,620
17,621
2,621
144,621
112,621
9,622
138,622
84,622
129,622
93,623
81,623
70,623
127,623
100,624
7,624
48,624
111,624
28,625
28,625
122,625
75,625
112,626
116,626
17,626
107,626
23,627
108,627
84,627
77,627
144,628
120,628
41,628
102,628
88,629
12,629
79,629
110,629
49,630
65,630
28,630
7,630
134,631
27,631
37,631
23,631
40,632
46,632
41,632
62,632
126,633
64,633
110,633
95,633
33,634
142,634
67,634
17,634
20,635
20,635
106,635
48,635
107,636
107,636
96,636
6,636
148,637
79,637
106,637
69,637
46,638
135,638
135,638
28,638
36,639
100,639
130,639
93,639
92,640
141,640
135,640
26,640
123,641
99,641
77,641
140,641
133,642
146,642
146,642
6,642
25,643
112,643
118,643
135,643
134,644
82,644
86,644
4,644
109,645
45,645
9,645
104,645
53,646
4,646
114,646
111,646
22,647
74,647
121,647
105,647
33,648
105,648
49,648
101,648
95,649
44,649
134,649
10,649
112,650
125,650
78,650
24,650
92,651
67,651
108,651
130,651
34,652
58,652
147,652
43,652
119,653
86,653
55,653
78,653
125,654
139,654
56,654
80,654
77,655
7,655
95,655
134,655
82,656
121,656
147,656
89,656
35,657
32,657
129,657
54,657
97,658
31,658
102,658
106,658
60,659
46,659
142,659
75,659
90,660
2,660
7,660
4,660
65,661
30,661
23,661
114,661
52,662
15,662
21,662
109,662
69,663
138,663
55,663
127,663
40,664
53,664
143,664
100,664
84,665
80,665
82,665
10,665
113,666
52,666
70,666
12,666
19,667
67,667
92,667
6,667
38,668
130,668
25,668
10,668
113,669
65,669
21,669
91,669
119,670
40,670
83,670
82,670
134,671
132,671
48,671
32,671
126,672
66,672
34,672
56,672
100,673
143,673
123,673
111,673
114,674
112,674
134,674
97,674
137,675
10,675
129,675
47,675
60,676
5,676
142,676
3,676
4,677
119,677
25,677
80,677
43,678
44,678
122,678
137,678
13,679
91,679
28,679
67,679
100,680
45,680
21,680
121,680
25,681
21,681
119,681
105,681
121,682
70,682
136,682
69,682
146,683
98,683
48,683
71,683
71,684
127,684
122,684
125,684
35,685
6,685
148,685
61,685
3,686
61,686
37,686
34,686
107,687
67,687
65,687
29,687
86,688
30,688
93,688
77,688
19,689
143,689
78,689
87,689
65,690
98,690
100,690
64,690
93,691
49,691
1,691
52,691
1,692
60,692
15,692
47,692
135,693
98,693
64,693
111,693
109,694
6,694
84,694
146,694
125,695
147,695
112,695
51,695
78,696
30,696
70,696
118,696
74,697
110,697
65,697
1,697
50,698
19,698
125,698
117,698
129,699
20,699
18,699
100,699
106,700
33,700
127,700
46,700
54,701
60,701
74,701
121,701
43,702
31,702
4,702
124,702
82,703
144,703
12,703
54,703
88,704
69,704
69,704
107,704
20,705
3,705
124,705
134,705
140,706
89,706
74,706
126,706
111,707
132,707
58,707
63,707
82,708
29,708
13,708
105,708
121,709
75,709
135,709
118,709
55,710
103,710
126,710
127,710
66,711
9,711
86,711
50,711
117,712
31,712
144,712
59,712
29,713
27,713
84,713
133,713
59,714
73,714
144,714
20,714
130,715
53,715
12,715
32,715
30,716
123,716
19,716
38,716
80,717
116,717
44,717
33,717
63,718
135,718
74,718
125,718
7,719
141,719
41,719
130,719
131,720
35,720
61,720
144,720
77,721
36,721
114,721
13,721
110,722
127,722
11,722
117,722
3,723
23,723
12,723
82,723
15,724
66,724
78,724
137,724
47,725
13,725
61,725
50,725
63,726
116,726
111,726
123,726
21,727
131,727
23,727
72,727
65,728
59,728
44,728
61,728
142,729
53,729
45,729
95,729
90,730
12,730
71,730
112,730
102,731
46,731
10,731
36,731
90,732
131,732
136,732
113,732
20,733
125,733
50,733
107,733
36,734
119,734
127,734
62,734
101,735
68,735
90,735
119,735
125,736
80,736
98,736
22,736
5,737
76,737
94,737
122,737
24,738
145,738
3,738
72,738
10,739
15,739
111,739
23,739
119,740
148,740
83,740
68,740
57,741
118,741
86,741
70,741
65,742
125,742
22,742
137,742
33,743
106,743
19,743
71,743
57,744
131,744
122,744
43,744
55,745
130,745
10,745
72,745
54,746
47,746
118,746
138,746
15,747
93,747
37,747
76,747
110,748
102,748
27,748
25,748
20,749
29,749
109,749
33,749
76,750
1,750
128,750
146,750
121,751
81,751
27,751
7,751
66,752
47,752
121,752
17,752
94,753
42,753
91,753
25,753
23,754
85,754
18,754
87,754
68,755
1,755
34,755
1,755
7,756
19,756
70,756
59,756
17,757
110,757
79,757
10,757
128,758
47,758
122,758
56,758
36,759
117,759
143,759
52,759
15,760
45,760
134,760
8,760
30,761
54,761
131,761
32,761
124,762
114,762
59,762
82,762
148,763
111,763
89,763
111,763
109,764
83,764
76,764
148,764
50,765
53,765
113,765
130,765
91,766
77,766
145,766
37,766
67,767
7,767
77,767
84,767
90,768
140,768
127,768
94,768
140,769
141,769
102,769
101,769
32,770
14,770
109,770
92,770
52,771
70,771
114,771
24,771
133,772
96,772
127,772
68,772
39,773
54,773
86,773
115,773
125,774
64,774
126,774
26,774
25,775
144,775
28,775
32,775
127,776
142,776
141,776
139,776
9,777
13,777
59,777
63,777
73,778
35,778
26,778
146,778
68,779
124,779
10,779
142,779
63,780
47,780
59,780
105,780
113,781
4,781
95,781
13,781
13,782
101,782
11,782
87,782
11,783
135,783
52,783
57,783
148,784
23,784
92,784
107,784
72,785
17,785
124,785
51,785
93,786
78,786
18,786
31,786
119,787
84,787
137,787
100,787
97,788
137,788
29,788
74,788
94,789
144,789
89,789
84,789
29,790
1,790
112,790
35,790
80,791
7,791
35,791
54,791
146,792
42,792
10,792
70,792
16,793
118,793
139,793
110,793
103,794
64,794
83,794
39,794
128,795
23,795
42,795
102,795
138,796
138,796
66,796
122,796
23,797
47,797
132,797
1,797
78,798
88,798
118,798
52,798
63,799
121,799
146,799
46,799
105,800
8,800
97,800
11,800
2,801
31,801
33,801
147,801
68,802
120,802
51,802
9,802
60,803
75,803
104,803
52,803
82,804
68,804
96,804
75,804
50,805
62,805
135,805
131,805
129,806
125,806
66,806
65,806
90,807
33,807
137,807
8,807
39,808
84,808
63,808
73,808
78,809
5,809
103,809
67,809
48,810
113,810
97,810
52,810
120,811
111,811
19,811
52,811
15,812
12,812
58,812
80,812
100,813
96,813
115,813
25,813
146,814
7,814
52,814
16,814
100,815
25,815
83,815
72,815
92,816
66,816
6,816
1,816
77,817
66,817
106,817
108,817
87,818
105,818
55,818
10,818
128,819
141,819
116,819
147,819
131,820
28,820
136,820
52,820
6,821
108,821
53,821
37,821
113,822
135,822
100,822
88,822
115,823
61,823
55,823
140,823
58,824
125,824
9,824
72,824
115,825
130,825
13,825
29,825
10,826
139,826
23,826
44,826
29,827
36,827
63,827
40,827
121,828
91,828
73,828
145,828
57,829
78,829
2,829
3,829
101,830
141,830
9,830
103,830
75,831
108,831
130,831
34,831
28,832
33,832
26,832
16,832
108,833
41,833
132,833
137,833
10,834
73,834
133,834
81,834
122,835
75,835
41,835
113,835
37,836
55,836
42,836
2,836
129,837
70,837
21,837
41,837
118,838
9,838
103,838
51,838
13,839
114,839
128,839
58,839
32,840
120,840
87,840
55,840
39,841
12,841
142,841
34,841
132,842
59,842
69,842
51,842
125,843
138,843
148,843
111,843
146,844
91,844
67,844
144,844
114,845
63,845
46,845
89,845
57,846
78,846
45,846
140,846
44,847
61,847
131,847
62,847
90,848
144,848
98,848
64,848
13,849
5,849
105,849
86,849
126,850
137,850
139,850
47,850
10,851
110,851
59,851
6,851
70,852
44,852
56,852
100,852
71,853
109,853
93,853
60,853
97,854
117,854
135,854
12,854
125,855
64,855
72,855
39,855
147,856
104,856
145,856
9,856
4,857
9,857
4,857
16,857
63,858
64,858
77,858
81,858
78,859
143,859
21,859
68,859
54,860
147,860
61,860
129,860
142,861
126,861
147,861
84,861
101,862
115,862
45,862
102,862
50,863
3,863
9,863
12,863
70,864
143,864
34,864
65,864
8,865
139,865
21,865
115,865
51,866
117,866
54,866
143,866
120,867
92,867
11,867
104,867
2,868
99,868
120,868
123,868
106,869
7,869
125,869
111,869
53,870
7,870
79,870
92,870
123,871
107,871
134,871
92,871
27,872
9,872
67,872
49,872
147,873
71,873
54,873
84,873
53,874
108,874
130,874
78,874
137,875
